c File:  hamming8-4.clq
c
c Source: Panos Pardalos pardalos@math.ufl.edu
c
c Reference: hamminga-b is a Hamming graph on a-bit words with
c            an edge if and only if the two words are at least
c            hamming distance b apart
c
p edge 256 20864
e 9 8
e 10 7
e 11 6
e 12 5
e 13 4
e 14 3
e 15 2
e 16 1
e 17 8
e 17 12
e 17 14
e 17 15
e 17 16
e 18 7
e 18 11
e 18 13
e 18 15
e 18 16
e 19 6
e 19 10
e 19 13
e 19 14
e 19 16
e 20 5
e 20 9
e 20 13
e 20 14
e 20 15
e 21 4
e 21 10
e 21 11
e 21 12
e 21 16
e 22 3
e 22 9
e 22 11
e 22 12
e 22 15
e 23 2
e 23 9
e 23 10
e 23 12
e 23 14
e 24 1
e 24 9
e 24 10
e 24 11
e 24 13
e 25 4
e 25 6
e 25 7
e 25 8
e 25 16
e 25 24
e 26 3
e 26 5
e 26 7
e 26 8
e 26 15
e 26 23
e 27 2
e 27 5
e 27 6
e 27 8
e 27 14
e 27 22
e 28 1
e 28 5
e 28 6
e 28 7
e 28 13
e 28 21
e 29 2
e 29 3
e 29 4
e 29 8
e 29 12
e 29 20
e 30 1
e 30 3
e 30 4
e 30 7
e 30 11
e 30 19
e 31 1
e 31 2
e 31 4
e 31 6
e 31 10
e 31 18
e 32 1
e 32 2
e 32 3
e 32 5
e 32 9
e 32 17
e 33 8
e 33 12
e 33 14
e 33 15
e 33 16
e 33 20
e 33 22
e 33 23
e 33 24
e 33 26
e 33 27
e 33 28
e 33 29
e 33 30
e 33 31
e 33 32
e 34 7
e 34 11
e 34 13
e 34 15
e 34 16
e 34 19
e 34 21
e 34 23
e 34 24
e 34 25
e 34 27
e 34 28
e 34 29
e 34 30
e 34 31
e 34 32
e 35 6
e 35 10
e 35 13
e 35 14
e 35 16
e 35 18
e 35 21
e 35 22
e 35 24
e 35 25
e 35 26
e 35 28
e 35 29
e 35 30
e 35 31
e 35 32
e 36 5
e 36 9
e 36 13
e 36 14
e 36 15
e 36 17
e 36 21
e 36 22
e 36 23
e 36 25
e 36 26
e 36 27
e 36 29
e 36 30
e 36 31
e 36 32
e 37 4
e 37 10
e 37 11
e 37 12
e 37 16
e 37 18
e 37 19
e 37 20
e 37 24
e 37 25
e 37 26
e 37 27
e 37 28
e 37 30
e 37 31
e 37 32
e 38 3
e 38 9
e 38 11
e 38 12
e 38 15
e 38 17
e 38 19
e 38 20
e 38 23
e 38 25
e 38 26
e 38 27
e 38 28
e 38 29
e 38 31
e 38 32
e 39 2
e 39 9
e 39 10
e 39 12
e 39 14
e 39 17
e 39 18
e 39 20
e 39 22
e 39 25
e 39 26
e 39 27
e 39 28
e 39 29
e 39 30
