c File:  johnson8-4-4.clq
c
c Source: Panos Pardalos pardalos@math.ufl.edu
c
c Reference: Johnson graph: johnsona-b-c is generated by
c            binary vectors of length a and weight b, with
c            two vertices adjacent if the hamming distance
c            between them is at least d.
c
p edge 70 1855
e 6 3
e 6 4
e 6 5
e 7 2
e 7 4
e 7 5
e 8 2
e 8 3
e 8 5
e 9 2
e 9 3
e 9 4
e 10 1
e 10 4
e 10 5
e 10 8
e 10 9
e 11 1
e 11 3
e 11 5
e 11 7
e 11 9
e 12 1
e 12 3
e 12 4
e 12 7
e 12 8
e 13 1
e 13 2
e 13 5
e 13 6
e 13 9
e 13 12
e 14 1
e 14 2
e 14 4
e 14 6
e 14 8
e 14 11
e 15 1
e 15 2
e 15 3
e 15 6
e 15 7
e 15 10
e 16 3
e 16 4
e 16 5
e 16 7
e 16 8
e 16 9
e 16 10
e 16 11
e 16 12
e 16 13
e 16 14
e 16 15
e 17 2
e 17 4
e 17 5
e 17 6
e 17 8
e 17 9
e 17 10
e 17 11
e 17 12
e 17 13
e 17 14
e 17 15
e 18 2
e 18 3
e 18 5
e 18 6
e 18 7
e 18 9
e 18 10
e 18 11
e 18 12
e 18 13
e 18 14
e 18 15
e 19 2
e 19 3
e 19 4
e 19 6
e 19 7
e 19 8
e 19 10
e 19 11
e 19 12
e 19 13
e 19 14
e 19 15
e 20 1
e 20 4
e 20 5
e 20 6
e 20 7
e 20 8
e 20 9
e 20 11
e 20 12
e 20 13
e 20 14
e 20 15
e 20 18
e 20 19
e 21 1
e 21 3
e 21 5
e 21 6
e 21 7
e 21 8
e 21 9
e 21 10
e 21 12
e 21 13
e 21 14
e 21 15
e 21 17
e 21 19
e 22 1
e 22 3
e 22 4
e 22 6
e 22 7
e 22 8
e 22 9
e 22 10
e 22 11
e 22 13
e 22 14
e 22 15
e 22 17
e 22 18
e 23 1
e 23 2
e 23 5
e 23 6
e 23 7
e 23 8
e 23 9
e 23 10
e 23 11
e 23 12
e 23 14
e 23 15
e 23 16
e 23 19
e 23 22
e 24 1
e 24 2
e 24 4
e 24 6
e 24 7
e 24 8
e 24 9
e 24 10
e 24 11
e 24 12
e 24 13
e 24 15
e 24 16
e 24 18
e 24 21
e 25 1
e 25 2
e 25 3
e 25 6
e 25 7
e 25 8
e 25 9
e 25 10
e 25 11
e 25 12
e 25 13
e 25 14
e 25 16
e 25 17
e 25 20
e 26 1
e 26 2
e 26 3
e 26 4
e 26 5
e 26 8
e 26 9
e 26 11
e 26 12
e 26 13
e 26 14
e 26 15
e 26 18
e 26 19
e 26 21
e 26 22
e 26 23
e 26 24
e 26 25
e 27 1
e 27 2
e 27 3
e 27 4
e 27 5
