c File:  san400_0.5_1.clq
c
c SOURCE: Laura Sanchis (laura@cs.colgate.edu)
c
c REFERENCE: "Test Case Construction for the Vertex Cover Problem", 
c DIMACS Workshop on Computational Support for Discrete Mathematics, 
c March, 1992, with additional work in a to be published technical
c report.
c
c 400 vertices 39900 edges 13 max clique
c 400 39900 387 2725 196200 6
p edge 400 39900
e 3 1
e 3 2
e 4 2
e 5 2
e 5 3
e 5 4
e 6 1
e 6 2
e 6 3
e 7 2
e 7 4
e 7 5
e 8 2
e 8 4
e 8 6
e 8 7
e 9 2
e 9 3
e 9 4
e 9 5
e 9 8
e 10 2
e 10 4
e 10 7
e 10 9
e 11 1
e 11 2
e 11 4
e 11 5
e 11 8
e 11 10
e 12 1
e 12 3
e 12 6
e 13 1
e 13 2
e 13 3
e 13 6
e 13 9
e 13 11
e 13 12
e 14 1
e 14 3
e 14 6
e 14 12
e 15 1
e 15 3
e 15 6
e 15 7
e 15 13
e 15 14
e 16 1
e 16 6
e 16 8
e 16 11
e 16 12
e 16 13
e 16 14
e 16 15
e 17 2
e 17 4
e 17 5
e 17 7
e 17 8
e 17 9
e 17 10
e 17 11
e 18 4
e 18 5
e 18 7
e 18 8
e 18 9
e 18 10
e 18 11
e 18 12
e 18 17
e 19 2
e 19 3
e 19 4
e 19 5
e 19 7
e 19 8
e 19 9
e 19 10
e 19 11
e 19 12
e 19 17
e 19 18
e 20 2
e 20 4
e 20 5
e 20 8
e 20 10
e 20 14
e 20 17
e 20 18
e 20 19
e 21 1
e 21 3
e 21 6
e 21 12
e 21 13
e 21 14
e 21 15
e 21 16
e 22 1
e 22 3
e 22 5
e 22 12
e 22 13
e 22 14
e 22 15
e 22 16
e 22 17
e 22 18
e 22 21
e 23 1
e 23 3
e 23 5
e 23 6
e 23 8
e 23 12
e 23 15
e 23 16
e 23 21
e 23 22
e 24 4
e 24 5
e 24 7
e 24 8
e 24 9
e 24 10
e 24 11
e 24 17
e 24 19
e 24 20
e 25 2
e 25 4
e 25 5
e 25 8
e 25 10
e 25 17
e 25 18
e 25 19
e 25 22
e 25 23
e 25 24
e 26 1
e 26 3
e 26 12
e 26 13
e 26 14
e 26 15
e 26 16
e 26 21
e 26 23
e 27 2
e 27 4
e 27 7
e 27 9
e 27 11
e 27 16
e 27 17
e 27 18
e 27 19
e 27 20
e 27 24
e 27 25
e 28 2
e 28 5
e 28 6
e 28 7
e 28 8
e 28 9
e 28 10
e 28 11
e 28 12
e 28 13
e 28 17
e 28 18
e 28 19
e 28 20
e 28 24
e 28 25
e 28 26
e 28 27
e 29 1
e 29 2
e 29 4
e 29 5
e 29 6
e 29 8
e 29 10
e 29 17
e 29 18
e 29 19
e 29 24
e 29 27
e 29 28
e 30 2
e 30 4
e 30 5
e 30 7
e 30 8
e 30 9
e 30 10
e 30 11
e 30 12
e 30 17
e 30 18
e 30 20
e 30 24
e 30 25
e 30 27
e 30 28
e 30 29
e 31 1
e 31 3
e 31 6
e 31 12
e 31 13
e 31 14
e 31 15
e 31 16
e 31 18
e 31 21
e 31 22
e 31 23
e 31 24
e 31 25
e 31 26
e 32 1
e 32 6
e 32 7
e 32 12
e 32 13
e 32 14
e 32 15
e 32 19
e 32 21
e 32 22
e 32 23
e 32 26
e 32 31
e 33 1
e 33 3
e 33 6
e 33 9
e 33 10
e 33 12
e 33 13
e 33 14
e 33 15
e 33 16
e 33 22
e 33 23
e 33 26
e 33 31
e 33 32
e 34 2
e 34 4
e 34 5
e 34 7
e 34 8
e 34 9
e 34 10
e 34 11
e 34 15
e 34 16
e 34 18
e 34 19
e 34 20
e 34 24
e 34 25
e 34 27
e 34 28
e 34 29
e 34 30
e 35 2
e 35 5
e 35 7
e 35 8
e 35 9
e 35 10
e 35 11
e 35 12
e 35 17
e 35 18
e 35 19
e 35 20
e 35 22
e 35 24
e 35 25
e 35 26
e 35 27
e 35 29
e 35 30
e 35 34
e 36 1
e 36 3
e 36 5
e 36 6
e 36 12
e 36 13
e 36 14
e 36 15
e 36 16
e 36 21
e 36 22
e 36 23
e 36 24
e 36 26
e 36 32
e 36 33
e 37 2
e 37 4
e 37 7
e 37 9
e 37 11
e 37 13
e 37 17
e 37 18
e 37 19
e 37 20
e 37 24
e 37 25
e 37 28
e 37 29
e 37 30
e 37 34
e 37 35
e 38 4
e 38 5
e 38 7
e 38 8
e 38 9
e 38 10
e 38 11
e 38 17
e 38 19
e 38 20
e 38 25
e 38 27
e 38 28
e 38 29
e 38 30
e 38 32
e 38 34
e 38 35
e 38 37
e 39 1
e 39 3
e 39 6
e 39 7
e 39 10
e 39 12
e 39 13
e 39 14
e 39 15
e 39 16
e 39 22
e 39 23
e 39 26
e 39 31
e 39 32
e 39 36
e 39 37
e 40 1
e 40 3
e 40 6
e 40 12
e 40 13
e 40 14
e 40 15
e 40 16
e 40 21
e 40 22
e 40 23
e 40 26
e 40 32
e 40 33
e 40 39
e 41 2
e 41 4
e 41 7
e 41 9
e 41 11
e 41 16
e 41 17
e 41 18
e 41 19
e 41 20
e 41 24
e 41 25
e 41 28
e 41 29
e 41 30
e 41 34
e 41 35
e 41 38
e 42 2
e 42 3
e 42 6
e 42 7
e 42 12
e 42 13
e 42 14
e 42 15
e 42 16
e 42 21
e 42 22
e 42 23
e 42 26
e 42 27
e 42 29
e 42 31
e 42 32
e 42 33
e 42 34
e 42 36
e 42 37
e 42 39
e 42 40
e 43 1
e 43 3
e 43 6
e 43 7
e 43 9
e 43 13
e 43 14
e 43 16
e 43 21
e 43 22
e 43 23
e 43 26
e 43 31
e 43 32
e 43 33
e 43 36
e 43 37
e 43 39
e 43 40
e 43 42
e 44 4
e 44 5
e 44 7
e 44 8
e 44 9
e 44 10
e 44 11
e 44 17
e 44 19
e 44 20
e 44 25
e 44 27
e 44 28
e 44 29
e 44 30
e 44 34
e 44 35
e 44 37
e 44 41
e 45 1
e 45 3
e 45 12
e 45 13
e 45 14
e 45 15
e 45 16
e 45 19
e 45 20
e 45 21
e 45 23
e 45 31
e 45 32
e 45 33
e 45 35
e 45 36
e 45 38
e 45 39
e 45 40
e 45 42
e 45 43
e 45 44
e 46 3
e 46 6
e 46 8
e 46 12
e 46 13
e 46 14
e 46 15
e 46 16
e 46 21
e 46 22
e 46 23
e 46 26
e 46 29
e 46 31
e 46 32
e 46 33
e 46 34
e 46 35
e 46 36
e 46 37
e 46 39
e 46 40
e 46 43
e 46 45
e 47 1
e 47 2
e 47 3
e 47 12
e 47 13
e 47 14
e 47 15
e 47 16
e 47 17
e 47 21
e 47 23
e 47 25
e 47 31
e 47 32
e 47 33
e 47 34
e 47 36
e 47 39
e 47 40
e 47 42
e 47 43
e 47 44
e 47 46
e 48 2
e 48 3
e 48 4
e 48 6
e 48 12
e 48 13
e 48 14
e 48 15
e 48 16
e 48 17
e 48 18
e 48 20
e 48 21
e 48 22
e 48 23
e 48 26
e 48 31
e 48 32
e 48 33
e 48 34
e 48 36
e 48 39
e 48 40
e 48 41
e 48 43
e 48 45
e 48 47
e 49 2
e 49 4
e 49 5
e 49 8
e 49 10
e 49 17
e 49 18
e 49 19
e 49 24
e 49 27
e 49 28
e 49 30
e 49 33
e 49 34
e 49 35
e 49 37
e 49 38
e 49 41
e 49 43
e 49 44
e 49 48
e 50 1
e 50 3
e 50 5
e 50 6
e 50 12
e 50 15
e 50 16
e 50 19
e 50 21
e 50 22
e 50 26
e 50 30
e 50 31
e 50 32
e 50 33
e 50 36
e 50 37
e 50 39
e 50 40
e 50 42
e 50 43
e 50 44
e 50 45
e 50 46
e 50 47
e 50 48
e 51 1
e 51 6
e 51 12
e 51 13
e 51 14
e 51 15
e 51 21
e 51 22
e 51 23
e 51 26
e 51 31
e 51 33
e 51 36
e 51 39
e 51 40
e 51 41
e 51 42
e 51 43
e 51 45
e 51 46
e 51 47
e 51 48
e 51 50
e 52 2
e 52 4
e 52 5
e 52 6
e 52 7
e 52 8
e 52 9
e 52 10
e 52 11
e 52 13
e 52 15
e 52 17
e 52 18
e 52 20
e 52 21
e 52 24
e 52 25
e 52 26
e 52 27
e 52 28
e 52 29
e 52 32
e 52 33
e 52 34
e 52 35
e 52 37
e 52 38
e 52 40
e 52 41
e 52 44
e 52 48
e 52 49
e 53 2
e 53 4
e 53 5
e 53 7
e 53 8
e 53 9
e 53 10
e 53 11
e 53 15
e 53 17
e 53 18
e 53 20
e 53 24
e 53 25
e 53 27
e 53 28
e 53 29
e 53 31
e 53 32
e 53 33
e 53 34
e 53 35
e 53 37
e 53 38
e 53 41
e 53 42
e 53 43
e 53 44
e 53 49
e 54 2
e 54 3
e 54 4
e 54 7
e 54 9
e 54 11
e 54 14
e 54 17
e 54 18
e 54 19
e 54 20
e 54 23
e 54 24
e 54 25
e 54 28
e 54 29
e 54 30
e 54 34
e 54 35
e 54 38
e 54 44
e 54 45
e 54 49
e 54 52
e 54 53
e 55 2
e 55 5
e 55 7
e 55 8
e 55 9
e 55 10
e 55 11
e 55 15
e 55 17
e 55 18
e 55 19
e 55 20
e 55 22
e 55 24
e 55 25
e 55 27
e 55 29
e 55 30
e 55 33
e 55 34
e 55 36
e 55 37
e 55 38
e 55 41
e 55 44
e 55 49
e 55 52
e 55 53
e 55 54
e 56 1
e 56 2
e 56 3
e 56 6
e 56 11
e 56 13
e 56 14
e 56 16
e 56 21
e 56 22
e 56 23
e 56 25
e 56 26
e 56 31
e 56 32
e 56 33
e 56 35
e 56 36
e 56 39
e 56 40
e 56 42
e 56 45
e 56 46
e 56 47
e 56 48
e 56 50
e 56 51
e 56 52
e 57 1
e 57 6
e 57 7
e 57 12
e 57 13
e 57 14
e 57 15
e 57 17
e 57 21
e 57 22
e 57 23
e 57 26
e 57 31
e 57 33
e 57 36
e 57 37
e 57 39
e 57 40
e 57 41
e 57 42
e 57 43
e 57 44
e 57 45
e 57 46
e 57 47
e 57 48
e 57 49
e 57 50
e 57 53
e 57 56
e 58 1
e 58 2
e 58 4
e 58 7
e 58 9
e 58 11
e 58 16
e 58 17
e 58 18
e 58 19
e 58 20
e 58 24
e 58 25
e 58 28
e 58 29
e 58 30
e 58 31
e 58 34
e 58 35
e 58 38
e 58 44
e 58 49
e 58 52
e 58 53
e 58 55
e 59 4
e 59 5
e 59 7
e 59 8
e 59 9
e 59 10
e 59 11
e 59 16
e 59 17
e 59 19
e 59 20
e 59 25
e 59 26
e 59 27
e 59 28
e 59 29
e 59 30
e 59 31
e 59 34
e 59 35
e 59 37
e 59 39
e 59 40
e 59 41
e 59 42
e 59 49
e 59 52
e 59 53
e 59 54
e 59 55
e 59 56
e 59 58
e 60 1
e 60 3
e 60 4
e 60 6
e 60 12
e 60 15
e 60 16
e 60 21
e 60 22
e 60 26
e 60 31
e 60 32
e 60 33
e 60 36
e 60 39
e 60 40
e 60 42
e 60 43
e 60 44
e 60 45
e 60 46
e 60 47
e 60 48
e 60 51
e 60 56
e 60 57
e 61 1
e 61 2
e 61 3
e 61 6
e 61 13
e 61 14
e 61 16
e 61 20
e 61 21
e 61 22
e 61 23
e 61 26
e 61 31
e 61 32
e 61 33
e 61 36
e 61 39
e 61 40
e 61 42
e 61 44
e 61 45
e 61 46
e 61 47
e 61 48
e 61 50
e 61 51
e 61 54
e 61 57
e 61 58
e 61 60
e 62 1
e 62 3
e 62 6
e 62 10
e 62 11
e 62 12
e 62 13
e 62 14
e 62 15
e 62 16
e 62 18
e 62 19
e 62 22
e 62 23
e 62 26
e 62 27
e 62 28
e 62 31
e 62 32
e 62 36
e 62 40
e 62 42
e 62 43
e 62 45
e 62 46
e 62 47
e 62 48
e 62 49
e 62 50
