c File:  sanr400_0.5.clq
c
c SOURCE: Laura Sanchis (laura@cs.colgate.edu)
c
c DESCRIPTION:  Randomly generated graph of similar size to "san"
c               graphs, but with differenct clique characteristics
c
c REFERENCE: "Test Case Construction for the Vertex Cover Problem", 
c DIMACS Workshop on Computational Support for Discrete Mathematics, 
c March, 1992, with additional work in a to be published technical
c report.
c
c random graph 400 vertices 39984 edges
c 400 0.500000 1243
p edge 400 39984
e 2 1
e 5 3
e 5 4
e 6 1
e 6 2
e 6 3
e 6 4
e 6 5
e 7 1
e 7 2
e 7 3
e 7 4
e 7 6
e 8 1
e 8 2
e 8 3
e 8 5
e 8 6
e 9 3
e 9 4
e 9 6
e 9 7
e 10 1
e 10 3
e 10 4
e 11 1
e 11 2
e 11 4
e 11 5
e 11 6
e 11 7
e 12 2
e 12 4
e 12 7
e 12 9
e 12 10
e 12 11
e 13 2
e 13 4
e 13 5
e 13 6
e 13 7
e 13 12
e 14 1
e 14 2
e 14 4
e 14 8
e 14 9
e 14 11
e 15 1
e 15 3
e 15 10
e 15 12
e 15 13
e 16 5
e 16 7
e 16 11
e 16 12
e 16 14
e 16 15
e 17 4
e 17 5
e 17 8
e 17 9
e 17 10
e 17 12
e 17 13
e 17 15
e 17 16
e 18 2
e 18 5
e 18 6
e 18 7
e 18 8
e 18 9
e 19 2
e 19 3
e 19 4
e 19 5
e 19 6
e 19 7
e 19 8
e 19 10
e 19 11
e 19 13
e 19 14
e 19 15
e 20 1
e 20 2
e 20 3
e 20 4
e 20 8
e 20 9
e 20 12
e 20 13
e 20 16
e 20 18
e 21 3
e 21 4
e 21 7
e 21 9
e 21 12
e 21 16
e 21 19
e 22 2
e 22 3
e 22 4
e 22 5
e 22 11
e 22 12
e 22 15
e 22 16
e 23 4
e 23 7
e 23 9
e 23 10
e 23 11
e 23 13
e 23 15
e 23 16
e 23 17
e 23 18
e 23 20
e 23 21
e 23 22
e 24 1
e 24 2
e 24 6
e 24 7
e 24 9
e 24 10
e 24 11
e 24 13
e 24 14
e 24 15
e 24 16
e 24 21
e 24 22
e 24 23
e 25 1
e 25 3
e 25 4
e 25 5
e 25 9
e 25 12
e 25 15
e 25 16
e 25 20
e 25 24
e 26 1
e 26 2
e 26 4
e 26 5
e 26 6
e 26 8
e 26 9
e 26 18
e 26 19
e 26 20
e 26 23
e 26 24
e 27 3
e 27 4
e 27 6
e 27 7
e 27 8
e 27 10
e 27 11
e 27 13
e 27 16
e 27 18
e 27 20
e 27 21
e 27 22
e 27 24
e 27 25
e 28 1
e 28 3
e 28 4
e 28 5
e 28 8
e 28 9
e 28 12
e 28 13
e 28 14
e 28 15
e 28 17
e 28 18
e 28 20
e 28 21
e 28 27
e 29 2
e 29 7
e 29 8
e 29 11
e 29 12
e 29 13
e 29 14
e 29 16
e 29 24
e 29 25
e 29 27
e 29 28
e 30 1
e 30 2
e 30 4
e 30 9
e 30 10
e 30 11
e 30 13
e 30 16
e 30 17
e 30 19
e 30 20
e 30 21
e 30 22
e 30 23
e 30 25
e 30 26
e 30 29
e 31 1
e 31 2
e 31 4
e 31 6
e 31 12
e 31 13
e 31 15
e 31 16
e 31 17
e 31 18
e 31 21
e 31 24
e 31 28
e 31 29
e 31 30
e 32 1
e 32 3
e 32 4
e 32 6
e 32 7
e 32 9
e 32 10
e 32 12
e 32 13
e 32 17
e 32 20
e 32 22
e 32 25
e 32 28
e 33 1
e 33 2
e 33 4
e 33 5
e 33 6
e 33 9
e 33 10
e 33 11
e 33 13
e 33 14
e 33 15
e 33 18
e 33 19
e 33 20
e 33 22
e 33 23
e 33 24
e 33 26
e 34 1
e 34 4
e 34 9
e 34 10
e 34 11
e 34 12
e 34 14
e 34 15
e 34 16
e 34 17
e 34 18
e 34 19
e 34 21
e 34 23
e 34 24
e 34 26
e 34 27
e 34 28
e 34 31
e 34 32
e 35 2
e 35 4
e 35 6
e 35 7
e 35 9
e 35 10
e 35 13
e 35 14
e 35 18
e 35 20
e 35 21
e 35 22
e 35 24
e 35 26
e 35 27
e 35 28
e 35 33
e 36 1
e 36 3
e 36 5
e 36 7
e 36 8
e 36 10
e 36 12
e 36 13
e 36 17
e 36 20
e 36 21
e 36 22
e 36 23
e 36 24
e 36 25
e 36 26
e 36 29
e 36 30
e 36 33
e 36 34
e 37 2
e 37 7
e 37 8
e 37 9
e 37 13
e 37 15
e 37 16
e 37 18
e 37 19
e 37 22
e 37 23
e 37 28
e 37 29
e 37 31
e 37 33
e 37 35
e 37 36
e 38 1
e 38 2
e 38 3
e 38 6
e 38 7
e 38 9
e 38 10
e 38 12
e 38 14
e 38 17
e 38 18
e 38 20
e 38 25
e 38 27
e 38 28
e 38 29
e 38 30
e 38 37
e 39 4
e 39 5
e 39 12
e 39 13
e 39 15
e 39 16
e 39 17
e 39 20
e 39 21
e 39 22
e 39 23
e 39 24
e 39 25
e 39 27
e 39 32
e 39 33
e 39 34
e 39 36
e 40 1
e 40 3
e 40 5
e 40 7
e 40 9
e 40 12
e 40 17
e 40 19
e 40 20
e 40 22
e 40 23
e 40 26
e 40 32
e 40 33
e 40 35
e 41 1
e 41 2
e 41 3
e 41 4
e 41 6
e 41 8
e 41 10
e 41 12
e 41 14
e 41 15
e 41 17
e 41 18
e 41 19
e 41 20
e 41 21
e 41 23
e 41 24
e 41 26
e 41 30
e 41 31
e 41 32
e 41 34
e 41 37
e 41 39
e 42 1
e 42 3
e 42 5
e 42 8
e 42 17
e 42 21
e 42 24
e 42 25
e 42 28
e 42 29
e 42 31
e 42 33
e 42 38
e 42 40
e 42 41
e 43 1
e 43 3
e 43 4
e 43 5
e 43 8
e 43 10
e 43 12
e 43 15
e 43 16
e 43 21
e 43 23
e 43 25
e 43 28
e 43 30
e 43 33
e 43 34
e 43 35
e 43 36
e 43 38
e 43 39
e 43 41
e 43 42
e 44 1
e 44 2
e 44 3
e 44 4
e 44 6
e 44 8
e 44 10
e 44 11
e 44 13
e 44 14
e 44 16
e 44 17
e 44 18
e 44 19
e 44 22
e 44 25
e 44 26
e 44 27
e 44 28
e 44 34
e 44 40
e 44 41
e 44 42
e 45 1
e 45 2
e 45 3
e 45 5
e 45 7
e 45 12
e 45 15
e 45 16
e 45 18
e 45 19
e 45 20
e 45 24
e 45 25
e 45 26
e 45 30
e 45 33
e 45 36
e 45 39
e 45 40
e 45 41
e 45 43
e 45 44
e 46 1
e 46 3
e 46 4
e 46 5
e 46 6
e 46 7
e 46 8
e 46 9
e 46 10
e 46 12
e 46 15
e 46 19
e 46 22
e 46 24
e 46 27
e 46 28
e 46 29
e 46 30
e 46 32
e 46 33
e 46 36
e 46 37
e 46 38
e 46 41
e 46 43
e 46 45
e 47 4
e 47 6
e 47 7
e 47 8
e 47 9
e 47 11
e 47 14
e 47 15
e 47 18
e 47 20
e 47 21
e 47 22
e 47 24
e 47 26
e 47 27
e 47 28
e 47 31
e 47 32
e 47 33
e 47 34
e 47 36
e 47 38
e 47 40
e 47 43
e 47 44
e 48 1
e 48 2
e 48 4
e 48 6
e 48 7
e 48 9
e 48 11
e 48 12
e 48 13
e 48 14
e 48 20
e 48 22
e 48 23
e 48 24
e 48 25
e 48 27
e 48 28
e 48 29
e 48 30
e 48 32
e 48 33
e 48 37
e 48 38
e 48 41
e 48 44
e 48 45
e 48 46
e 49 1
e 49 3
e 49 5
e 49 8
e 49 9
e 49 12
e 49 14
e 49 20
e 49 21
e 49 22
e 49 23
e 49 24
e 49 25
e 49 26
e 49 27
e 49 29
e 49 30
e 49 31
e 49 33
e 49 34
e 49 35
e 49 39
e 49 40
e 49 41
e 49 43
e 49 44
e 49 45
e 49 48
e 50 1
e 50 2
e 50 3
e 50 4
e 50 5
e 50 7
e 50 8
e 50 9
e 50 10
e 50 12
e 50 13
e 50 15
e 50 16
e 50 17
e 50 19
e 50 22
e 50 23
e 50 25
e 50 26
e 50 28
e 50 30
e 50 33
e 50 35
e 50 36
e 50 39
e 50 43
e 50 48
e 50 49
e 51 1
e 51 2
e 51 5
e 51 6
e 51 8
e 51 11
e 51 13
e 51 14
e 51 15
e 51 16
e 51 17
e 51 18
e 51 19
e 51 22
e 51 23
e 51 25
e 51 26
e 51 28
e 51 30
e 51 31
e 51 32
e 51 35
e 51 36
e 51 38
e 51 39
e 51 48
e 51 50
e 52 3
e 52 5
e 52 13
e 52 14
e 52 17
e 52 21
e 52 22
e 52 24
e 52 26
e 52 27
e 52 30
e 52 31
e 52 32
e 52 33
e 52 36
e 52 38
e 52 42
e 52 43
e 52 44
e 52 47
e 52 50
e 53 1
e 53 2
e 53 3
e 53 5
e 53 6
e 53 7
e 53 11
e 53 13
e 53 14
e 53 15
e 53 16
e 53 17
e 53 18
e 53 20
e 53 25
e 53 26
e 53 27
e 53 29
e 53 31
e 53 32
e 53 41
e 53 42
e 53 43
e 53 46
e 53 47
e 53 48
e 53 50
e 53 51
e 54 1
e 54 2
e 54 3
e 54 4
e 54 5
e 54 7
e 54 10
e 54 11
e 54 13
e 54 14
e 54 16
e 54 17
e 54 22
e 54 23
e 54 24
e 54 28
e 54 29
e 54 33
e 54 37
e 54 39
e 54 40
e 54 41
e 54 42
e 54 43
e 54 45
e 54 47
e 54 49
e 54 52
e 54 53
e 55 1
e 55 2
e 55 3
e 55 4
e 55 5
e 55 7
e 55 12
e 55 14
e 55 16
e 55 19
e 55 21
e 55 22
e 55 24
e 55 25
e 55 26
e 55 29
e 55 30
e 55 31
e 55 33
e 55 36
e 55 37
e 55 38
e 55 39
e 55 41
e 55 42
e 55 43
e 55 44
e 55 45
e 55 48
e 55 51
e 55 52
e 56 1
e 56 2
e 56 3
e 56 6
e 56 18
e 56 20
e 56 22
e 56 23
e 56 25
e 56 31
e 56 32
e 56 33
e 56 36
e 56 38
e 56 39
e 56 40
e 56 41
e 56 42
e 56 43
e 56 44
e 56 45
e 56 46
e 56 47
e 56 48
e 56 49
e 56 50
e 56 54
e 57 1
e 57 3
e 57 6
e 57 8
e 57 11
e 57 12
e 57 13
e 57 17
e 57 18
e 57 22
e 57 23
e 57 26
e 57 28
e 57 30
e 57 35
e 57 37
e 57 39
e 57 40
e 57 41
e 57 43
e 57 44
e 57 46
e 57 47
e 57 48
e 57 49
e 57 50
e 57 52
e 57 54
e 57 56
e 58 1
e 58 2
e 58 3
e 58 4
e 58 7
e 58 10
e 58 11
e 58 13
e 58 19
e 58 20
e 58 21
e 58 26
e 58 28
e 58 31
e 58 32
e 58 33
e 58 35
e 58 37
e 58 38
e 58 40
e 58 41
e 58 42
e 58 43
e 58 45
e 58 46
e 58 47
e 58 48
e 58 50
e 58 51
e 58 54
e 58 55
e 58 56
e 59 2
e 59 3
e 59 4
e 59 5
e 59 7
e 59 9
e 59 10
e 59 11
e 59 12
e 59 14
e 59 15
e 59 16
e 59 18
e 59 19
e 59 20
e 59 21
e 59 22
e 59 27
e 59 28
e 59 31
e 59 33
e 59 34
e 59 37
e 59 38
e 59 39
e 59 41
e 59 44
e 59 46
e 59 48
e 59 50
e 59 51
e 59 53
e 59 55
e 59 56
e 59 58
e 60 1
e 60 5
e 60 7
e 60 8
e 60 10
e 60 11
e 60 12
e 60 14
e 60 15
e 60 16
e 60 18
e 60 21
e 60 22
e 60 26
e 60 28
e 60 29
e 60 30
e 60 32
e 60 34
e 60 35
e 60 37
e 60 40
e 60 41
e 60 42
e 60 45
e 60 46
e 60 47
e 60 49
e 60 50
e 60 53
e 60 55
e 60 57
e 61 1
e 61 2
e 61 4
e 61 8
e 61 10
e 61 11
e 61 15
e 61 16
e 61 18
e 61 20
e 61 21
e 61 23
e 61 26
